case_number,citation_number,mine_id,paid_to_date,proposed_penalty,standard_violated
000374480,8778047,4104757,162.00,162.00,56.18010
000374480,8778046,4104757,100.00,100.00,56.14132(a)
000348280,8771781,4104757,100.00,100.00,56.14100(b)
000345454,8771783,4104757,243.00,243.00,56.9300(a)
000345454,8771782,4104757,243.00,243.00,56.9300(a)
000345454,8771784,4104757,100.00,100.00,50.30(a)
000316329,8688404,4104757,100.00,100.00,50.30(a)
000316329,8681997,4104757,100.00,100.00,47.31(a)
000316329,8681998,4104757,100.00,100.00,56.9300(a)
000316329,8681995,4104757,162.00,162.00,56.14132(a)
000316329,8681996,4104757,100.00,100.00,56.12028
000303884,6315027,4104757,112.00,112.00,46.8(a)(2)
000246930,6576572,4104757,100.00,100.00,56.18013
000246930,6576574,4104757,243.00,243.00,56.15001
000246930,6576573,4104757,100.00,100.00,56.20002(b)
000246930,6576571,4104757,100.00,100.00,56.9300(b)
000206354,6466145,4104757,100.00,100.00,41.12
000206354,6466144,4104757,100.00,100.00,56.9300(a)
